ident,latitude,longitude
UTNOR,-17.61742778,-48.65445833
NEBAL,-17.44083333,-50.32766667
TCAS7,-23.0324,-45.4764
USAMO,-22.69263515,-45.82582149
AMVOM,-30.50280278,-51.60758333
CX204,-29.22738056,-51.15416667
PABIR,2.921111111,-31.88638889
RB017,-9.631166667,-68.10983333
ML004,-22.367,-49.9695
SIGUK,-29.85193611,-50.80048056
CZ021,-7.603752778,-72.75844444
MS013,-5.404419444,-37.34753889
CTB13,-25.67138611,-49.015375
EDVEL,-21.35138889,-36.76666667
PRONO,-8.515386111,-38.43145556
KOGDU,-13.40433333,-57.1945
SINUN,-2.583705556,-61.20863611
BQ011,-21.10033333,-43.81648889
MQ376,0.016,-51.29933333
BV009,2.927891667,-60.53076389
RJ227,-22.93583333,-43.03683333
PRR01,-22.14416111,-51.66312778
AU002,-21.29666667,-50.515
VOVRI,-5.814833333,-35.08916667
SP078,-23.57865556,-46.6897
SO008,-12.55856389,-55.71594167
UBDON,-15.76495,-55.94043333
JH023,-23.48619722,-47.11351667
PUNBO,-8.854872222,-63.78056389
TCA52,-23.5684,-46.4315
REBOB,1.288333333,-30.136
IMBUP,-22.15615278,-54.88672222
ITALA,-7.624294444,-51.28976667
OPNOT,-9.804388444,-68.05800433
UDUNU,-15.81099167,-56.03259722
DEJAN,-20.76966667,-44.0875
EN002,-22.64453611,-40.79396667
GV004,-19.09616667,-42.07465
MEXAR,-8.884713889,-35.27621111
MALDU,-22.88525556,-43.04486111
GP014,-21.95712778,-48.31696111
CB032,-22.93837356,-41.92114658
PAJEM,-16.24183333,-48.59883333
FN369,-3.967611111,-32.18311111
IP014,-19.39073056,-42.43815556
GV011,-18.77136944,-41.85440556
LO221,-23.39113611,-50.84145278
MM002,-22.4877,-40.30128056
OPLIK,-15.47733333,-49.82283333
AR369,-10.897,-36.85291667
VUTMI,-15.85214722,-47.554368
SOVTA,-25.33265556,-49.23710278
DO007,-22.00083333,-54.75066667
EDNIL,-3.037991667,-60.31174444
SIKIL,-4.999994444,-42.82958333
EVPIB,-26.60076111,-46.986325
ANRAG,-0.979152778,-65.49974444
IP018,-19.27626389,-42.46964167
NF001,-26.80933333,-48.536
TCA60,-24.6523,-46.8913
REKAS,-22.60183333,-46.6285
PJ004,-9.819991667,-48.39222778
ETANU,-10.17572222,-46.36138889
ENSEP,-29.0711,-51.479025
GR257,-23.53185,-47.62578333
IMBIX,-28.82342036,-49.17229933
NF006,-26.97167222,-48.57001389
IREGA,-6.643963889,-68.85631667
VUSLO,-3.913611111,-55.78861111
CURUK,-3.716,-48.86216667
NETPI,-29.99666667,-51.0635
AG001,-23.06801389,-44.40033611
NF148,-27.32382222,-49.45293333
EGIMO,-17.57133333,-54.691
GEMSO,-23.10151389,-45.99995833
